spec,exposure_period,period_type,term,year,reference_year,estimate,std.error,statistic,p.value,n_obs,n_cz
core_controls,1990-2000,placebo_pre_shock,exposure_1990_2000_x_1984,1984,1988,0.0029786032661082906,0.002476612270551432,1.2026926061563474,0.22949009903175754,9386,722
core_controls,1990-2000,during_or_immediate_post_shock,exposure_1990_2000_x_1992,1992,1988,-0.007699374727223721,0.003732077879328592,-2.063026275488349,0.03946764901345452,9386,722
core_controls,1990-2000,during_or_immediate_post_shock,exposure_1990_2000_x_1996,1996,1988,-0.01650678484654605,0.005701427876079417,-2.895201904737051,0.003903706989935669,9386,722
core_controls,1990-2000,during_or_immediate_post_shock,exposure_1990_2000_x_2000,2000,1988,-0.01354315945322352,0.006174529085940215,-2.193391474025466,0.028597785189732286,9386,722
core_controls,1990-2000,during_or_immediate_post_shock,exposure_1990_2000_x_2004,2004,1988,-0.01158988351626463,0.005743755704933348,-2.0178231999508625,0.04397962982165186,9386,722
core_controls,1990-2000,during_or_immediate_post_shock,exposure_1990_2000_x_2008,2008,1988,-0.006708751137807747,0.005958029167598266,-1.126001727935834,0.260539439038473,9386,722
core_controls,1990-2000,medium_run,exposure_1990_2000_x_2012,2012,1988,-0.006407965435550284,0.0069065542518574425,-0.9278093245741075,0.353816971302513,9386,722
core_controls,1990-2000,medium_run,exposure_1990_2000_x_2016,2016,1988,5.05686276503479e-4,0.006932289845990778,0.07294649931522089,0.941868922635801,9386,722
core_controls,1990-2000,long_run,exposure_1990_2000_x_2020,2020,1988,-0.0018952180813397203,0.007012255426224935,-0.27027225423817963,0.7870281526480483,9386,722
core_controls,2000-2007,placebo_pre_shock,exposure_2000_2007_x_1972,1972,1988,0.005331726596064038,0.003301381919907647,1.6149984235126567,0.1067485274427961,9386,722
core_controls,2000-2007,placebo_pre_shock,exposure_2000_2007_x_1976,1976,1988,-0.0018100806529087092,0.005310313282348992,-0.34086136856092014,0.733307247949978,9386,722
core_controls,2000-2007,placebo_pre_shock,exposure_2000_2007_x_1980,1980,1988,8.233633518971448e-4,0.005036020904705013,0.1634948240838118,0.8701746648223894,9386,722
