sample,spec,se_type,eigen_index,eigenvalue
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,25,2.0468498664188048e-5
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,26,1.8495708554310424e-5
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,27,1.4308130569091994e-5
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,28,1.1553535331857193e-5
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,29,9.499136376389175e-6
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,30,8.781746998400092e-6
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,31,8.045930299392927e-6
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,32,6.726686845316795e-6
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,33,6.233131007498395e-6
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,34,5.5812320097269935e-6
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,35,4.6605076032636494e-6
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,36,4.325434549394392e-6
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,37,3.441981521680612e-6
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,38,3.1701368625555897e-6
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,39,2.648400662774454e-6
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,40,2.2038526006825567e-6
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,41,2.1115020242865434e-6
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,42,2.0500017987840715e-6
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,43,1.8208839973115388e-6
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,44,1.617225005792387e-6
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,45,1.5493493349319922e-6
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,46,1.4011981225568204e-6
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,47,1.1745581601584612e-6
main_1972_start,interacted_core_controls_diagnostic,heteroskedastic,48,1.0686762714856044e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,1,0.0016267812153377124
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,2,4.244691646966411e-4
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,3,3.403814219520511e-4
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,4,2.268031217877166e-4
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,5,1.4864197791282402e-4
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,6,1.2625367152592268e-4
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,7,1.0383435240574343e-4
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,8,8.141453436998702e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,9,6.036371937866687e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,10,4.6362180430126685e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,11,3.795680604289838e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,12,3.316463543240831e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,13,2.6217260821587872e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,14,2.500178687436898e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,15,2.01616224984316e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,16,1.6215643949082618e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,17,1.2230451431645612e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,18,1.0491779973682055e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,19,9.666155376343004e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,20,8.623852219285166e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,21,6.880101473710933e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,22,6.394855157553998e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,23,5.585228562711211e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,24,4.629064206337895e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,25,4.0864774320741095e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,26,2.9676660302707475e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,27,2.658439533808485e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,28,2.1566659324940325e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,29,2.0463956031470325e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,30,1.8488519580746336e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,31,1.64602873638402e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,32,1.3374429923513122e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,33,1.0625701604678074e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,34,9.163617467857893e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,35,7.319784162153799e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,36,6.859012765149486e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,37,5.144977725727491e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,38,4.494257695969838e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,39,3.755306342269217e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,40,2.9679506316267077e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,41,2.0347097599726589e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,42,1.4782972567174268e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,43,1.259961697309414e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,44,1.1195742548545303e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,45,1.0065567736674752e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,46,6.439046468536363e-8
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,47,4.680428381139701e-8
main_1972_start,interacted_core_controls_diagnostic,cluster_cz,48,3.395849541703905e-8
main_1972_start,interacted_core_controls_diagnostic,cluster_state,1,0.004007046206126753
main_1972_start,interacted_core_controls_diagnostic,cluster_state,2,9.516622745832292e-4
main_1972_start,interacted_core_controls_diagnostic,cluster_state,3,4.579351034440863e-4
main_1972_start,interacted_core_controls_diagnostic,cluster_state,4,3.512419409247739e-4
main_1972_start,interacted_core_controls_diagnostic,cluster_state,5,2.810678807117595e-4
main_1972_start,interacted_core_controls_diagnostic,cluster_state,6,2.230607189762927e-4
main_1972_start,interacted_core_controls_diagnostic,cluster_state,7,1.611141150685471e-4
main_1972_start,interacted_core_controls_diagnostic,cluster_state,8,1.0154778461375812e-4
main_1972_start,interacted_core_controls_diagnostic,cluster_state,9,7.358710441841837e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_state,10,6.25047599489596e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_state,11,5.030588483674289e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_state,12,3.369566365613854e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_state,13,2.7814702580837057e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_state,14,2.380195956226675e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_state,15,1.8618858511033233e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_state,16,1.6324207819371102e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_state,17,1.3016968453445329e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_state,18,1.0867926309638231e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_state,19,9.6055921942478e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_state,20,8.195426042048624e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_state,21,6.6619163292479816e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_state,22,5.701277814222191e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_state,23,4.436741867498563e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_state,24,3.6047057761770767e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_state,25,2.785496648131933e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_state,26,2.7077571755973754e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_state,27,1.600184126475757e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_state,28,1.2546245803899283e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_state,29,9.025794911371131e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_state,30,8.385836044708036e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_state,31,5.953334511277943e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_state,32,5.21208881564829e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_state,33,4.1393707780658114e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_state,34,2.802576177128225e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_state,35,1.7253767182055377e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_state,36,1.4994645856901927e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_state,37,1.0713384426638854e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_state,38,8.439591084686892e-8
main_1972_start,interacted_core_controls_diagnostic,cluster_state,39,5.557114270071657e-8
main_1972_start,interacted_core_controls_diagnostic,cluster_state,40,2.913118522485346e-8
main_1972_start,interacted_core_controls_diagnostic,cluster_state,41,2.0232368575053004e-8
main_1972_start,interacted_core_controls_diagnostic,cluster_state,42,1.2579978497400609e-8
main_1972_start,interacted_core_controls_diagnostic,cluster_state,43,6.421967301071304e-9
main_1972_start,interacted_core_controls_diagnostic,cluster_state,44,4.733875037857385e-9
main_1972_start,interacted_core_controls_diagnostic,cluster_state,45,1.433373620982976e-9
main_1972_start,interacted_core_controls_diagnostic,cluster_state,46,7.25070432703627e-10
main_1972_start,interacted_core_controls_diagnostic,cluster_state,47,1.5264346263115703e-10
main_1972_start,interacted_core_controls_diagnostic,cluster_state,48,-5.0898725496800544e-20
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,1,9.466880912830991e-4
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,2,2.0891598213993262e-4
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,3,1.7508644861073853e-4
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,4,1.3162267609990427e-4
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,5,8.617599722546011e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,6,5.3526944372344155e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,7,3.0173043276701254e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,8,1.7689645814289077e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,9,1.1007509595322737e-5
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,10,5.753568674952347e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,11,2.6517319650058663e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,12,2.3173777009255563e-6
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,13,5.113650399941864e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,14,-4.365580554164365e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,15,-8.672476029153405e-7
main_1972_start,interacted_core_controls_diagnostic,cluster_cz_year,16,-9.872259323168103e-7
