path,category,extension,bytes,md5,crosswalk_slug,modified_time
output/figures/fig_alternative_political_outcomes.pdf,figures,pdf,25280,cabb62a4cae5de6860332b933cbe84d3,NA,2026-05-10 16:28:46 CDT
output/figures/fig_alternative_political_outcomes.png,figures,png,446223,2ffdec4e0a9ce7c5359d4c6862c3cc7c,NA,2026-05-10 16:28:45 CDT
output/figures/fig_alternative_political_outcomes_vote_choice.pdf,figures,pdf,7536,d32de733af73574416ceeff0327cadcf,NA,2026-05-10 16:28:47 CDT
output/figures/fig_alternative_political_outcomes_vote_choice.png,figures,png,143627,d80dfded615742e4852dbf2110798c0c,NA,2026-05-10 16:28:47 CDT
output/figures/fig_alternative_political_outcomes_vote_volume.pdf,figures,pdf,8721,67c68c7ef9fac3423210e407879859da,NA,2026-05-10 16:28:48 CDT
output/figures/fig_alternative_political_outcomes_vote_volume.png,figures,png,159535,58331a620618d2f37a3cb2a948d6c78c,NA,2026-05-10 16:28:48 CDT
output/figures/fig_bartik_first_stage.pdf,figures,pdf,47353,f6346c7b3262568e73adbcb516fe662b,NA,2026-05-10 16:28:39 CDT
output/figures/fig_bartik_first_stage.png,figures,png,230613,30f228790d8dbffa7437442004b715f0,NA,2026-05-10 16:28:39 CDT
output/figures/fig_crosswalk_specification_comparison.pdf,figures,pdf,7897,b36c2b178611daabc7dd186b42bd3d53,NA,2026-05-10 16:26:12 CDT
output/figures/fig_crosswalk_specification_comparison.png,figures,png,253130,80a075e9328972c8ff892d9e9cc19349,NA,2026-05-10 16:26:13 CDT
output/figures/fig_crosswalk_unavailable_weights_1990_counties.pdf,figures,pdf,7464445,23886a4eb4a7ce612d79ab25ea341127,NA,2026-05-10 16:27:26 CDT
output/figures/fig_crosswalk_unavailable_weights_1990_counties.png,figures,png,792489,fa637ffeb4fa5d738e2409603df359fb,NA,2026-05-10 16:27:36 CDT
output/figures/fig_crosswalk_unavailable_weights_1990_counties_simplified.pdf,figures,pdf,7419225,eb3aa989145be55f9d90df0ec48c9e3f,NA,2026-05-10 16:27:45 CDT
