czone,year,reg_voters_pct,voter_turnout_pct,reg_voter_turnout_pct,pres_rep_ratio,pres_dem_ratio,partisan_index_dem,partisan_index_rep
26704,2020,0.20747364744198954,0.5864911939507115,2.82682259256418,0.5977710839129352,0.40222891608706485,0.4615749751288298,0.5384250274229216
26704,2022,0.19476267783259046,0.3819099500478366,1.9608990505671207,NA,NA,0.4383632313860258,0.5616367896011932
26801,2006,0.21663101981338284,0.41299621594942065,1.9064500379733103,NA,NA,0.5171104233142723,0.48288959190698616
26801,2008,0.2504972375690608,0.641524861878453,2.561005734450816,0.45551481658607434,0.5444851834139256,0.5703470464734274,0.4296529722287508
26801,2010,0.22050296757810126,0.4360286121862247,1.9774274105031493,NA,NA,0.5129740393150898,0.48702596068431603
26801,2012,0.2413096588608918,0.6490722779124295,2.689789878185528,0.5051435259614382,0.4948564740385618,0.518105082190995,0.48189494178705405
26801,2014,0.19840989368389467,0.4260556421533472,2.1473507910454113,NA,NA,0.47542927250700173,0.5245707062238899
26801,2016,0.2256667942212014,0.4575608056602872,2.0275947431228203,0.5606366463296251,0.43936335367037493,0.44057648837274294,0.5594234988907738
26801,2018,0.19197225646266386,0.5325476620015732,2.7740865884188164,NA,NA,0.5821746546471104,0.41782534359493784
26801,2020,0.2141448070889934,0.6174275883862109,2.8832246589552972,0.5210235630074763,0.47897643699252357,0.5305846068598183,0.46941539948373323
26801,2022,0.20557914293824836,0.4045542847805652,1.9678761132985403,NA,NA,0.5078304728746998,0.49216955337326923
27504,2004,3.574909249310295,0.6706258167562074,0.187592403047879,0.5433202660441352,0.45667973395586486,0,0
27704,2014,2.3136472466081406,0.8775738228252195,0.3793032080027596,NA,NA,0.2807015750352172,0.7192984346095339
27704,2016,2.368555466879489,0.659537110933759,0.2784554215243615,0.492808598071756,0.5071914019282441,0.23852393399785654,0.761476055489281
27801,2008,0.35790008897928055,0.5923986271768146,1.65520670549794,0.7185809312638581,0.2814190687361419,0.24646747626720722,0.7535325240737494
27801,2012,0.3483341622518968,0.6047461318725464,1.7361091658739638,0.7653909200251499,0.23460907997485017,0.26778179496939414,0.7322182270878504
28306,2008,1.6593366979091564,0.6198269646719539,0.37353899630675647,0.6876057018603527,0.31239429813964725,0.33039713702242524,0.669602892471002
28306,2012,1.6406272530641672,0.6090483056957462,0.3712289336643888,0.7129093198992443,0.28709068010075567,0.33490364430783903,0.6650963266632912
30702,2004,0.2949811545328308,0.6820075381868677,2.3120376597175523,0.4998457266275841,0.5001542733724159,0,0
31502,2012,2.426885043263288,1.308096415327565,0.5390022156008862,0.40007182618064285,0.5999281738193571,0.5758997981237152,0.42410021022940164
32604,2016,0.2558737145364303,0.48722466961278504,1.9041606930805546,0.8024295596726946,0.19757044032730545,0.21428482199856294,0.785715159883729
36000,2006,0.016753723333571845,0.3301815753338308,19.707952003254018,NA,NA,0.13313376959138795,0.866866244145849
36100,2006,0.024798154555940023,0.3688211281300314,14.872926422731963,NA,NA,0.3403169087378414,0.6596830925574129
36200,2006,0.08386790432653365,0.3766421182976901,4.4908969804618115,NA,NA,0.15542113076622327,0.8445788532406842
39303,2006,0.2927624345126447,0.6116810038160533,2.0893425238600214,NA,NA,0.5086701079417753,0.49132992186055485
