year,state_fips,state,scope,rep_votes,dem_votes,twoparty_votes,total_votes,source_counties
1960,41,OR,pre_bridge,408065,367402,775467,776426,36
1960,42,PA,pre_bridge,2439956,2556282,4996238,5006541,67
1960,44,RI,pre_bridge,147502,258032,405534,405534,5
1960,45,SC,pre_bridge,188558,198121,386679,386680,46
1960,46,SD,pre_bridge,178417,128070,306487,306487,67
1960,47,TN,pre_bridge,556577,481453,1038030,1051776,95
1960,48,TX,pre_bridge,1121693,1167935,2289628,2311841,254
1960,49,UT,pre_bridge,205362,169248,374610,374710,29
1960,50,VT,pre_bridge,98131,69186,167317,167324,14
1960,51,VA,pre_bridge,404521,362327,766848,771449,130
1960,53,WA,pre_bridge,629273,599298,1228571,1241572,39
1960,54,WV,pre_bridge,395995,441786,837781,837781,55
1960,55,WI,pre_bridge,895175,830805,1725980,1729082,71
1960,56,WY,pre_bridge,77451,63331,140782,140782,23
1964,01,AL,pre_bridge,479085,210733,689818,689818,67
1964,04,AZ,pre_bridge,242535,237753,480288,480770,14
1964,05,AR,pre_bridge,243264,314197,557461,560426,75
1964,06,CA,pre_bridge,2879108,4171877,7050985,7057577,58
1964,08,CO,pre_bridge,296767,476024,772791,776985,63
1964,09,CT,pre_bridge,390996,826269,1217265,1218578,8
1964,10,DE,pre_bridge,78078,122704,200782,201320,3
1964,11,DC,pre_bridge,28801,169796,198597,198597,1
1964,12,FL,pre_bridge,905941,948540,1854481,1854481,67
1964,13,GA,pre_bridge,616584,522163,1138747,1138942,159
1964,15,HI,pre_bridge,44022,163249,207271,207271,4
1964,16,ID,pre_bridge,143557,148920,292477,292477,44
1964,17,IL,pre_bridge,1905946,2796833,4702779,4702841,102
1964,18,IN,pre_bridge,911118,1170848,2081966,2091606,92
1964,19,IA,pre_bridge,449148,733030,1182178,1184539,99
1964,20,KS,pre_bridge,386579,464028,850607,857901,105
1964,21,KY,pre_bridge,372977,669659,1042636,1046105,120
1964,22,LA,pre_bridge,509230,387068,896298,896298,64
1964,23,ME,pre_bridge,118701,262264,380965,380965,16
1964,24,MD,pre_bridge,385495,730912,1116407,1116407,24
1964,25,MA,pre_bridge,549727,1786422,2336149,2344798,14
1964,26,MI,pre_bridge,1060152,2136615,3196767,3203102,83
1964,27,MN,pre_bridge,559624,991117,1550741,1554462,87
1964,28,MS,pre_bridge,356529,52619,409148,409148,82
1964,29,MO,pre_bridge,653535,1164344,1817879,2166499,115
1964,30,MT,pre_bridge,113032,164246,277278,278628,56
1964,31,NE,pre_bridge,276847,307307,584154,584154,93
1964,32,NV,pre_bridge,56094,79339,135433,135433,17
1964,33,NH,pre_bridge,104029,182065,286094,286094,10
1964,34,NJ,pre_bridge,963843,1867671,2831514,2846770,21
