gisjoin_1800,centroid_x,centroid_y,decade
G5101290,-76.304192,36.710243,1800
G5101310,-75.902443,37.353577,1800
G5101330,-76.422707,37.887051,1800
G5101350,-78.051231,37.143066,1800
G5101355,-80.719414,39.610428,1800
G5101370,-78.155746,38.262402,1800
G5101410,-80.309875,36.675438,1800
G5101415,-79.43956,38.615105,1800
G5101430,-79.397614,36.811115,1800
G5101450,-77.916267,37.551476,1800
G5101470,-78.471016,37.236534,1800
G5101490,-77.234627,37.190487,1800
G5101510,-76.065628,36.75478,1800
G5101530,-77.481918,38.705448,1800
G5101557,-79.991104,38.81105,1800
G5101590,-76.769585,38.03487,1800
G5101630,-79.445732,37.81591,1800
G5101650,-78.851479,38.510094,1800
G5101670,-82.331703,36.98333,1800
G5101710,-78.499039,38.803257,1800
G5101750,-77.103775,36.719894,1800
G5101770,-77.652489,38.188221,1800
G5101790,-77.460159,38.421288,1800
G5101810,-76.899948,37.109093,1800
G5101830,-77.264412,36.919003,1800
G5101850,-81.571358,37.361935,1800
G5101890,-76.519524,37.105675,1800
G5101910,-81.964752,36.73764,1800
G5101953,-81.332222,39.183872,1800
G5101970,-81.134247,36.949821,1800
G5101990,-76.538559,37.22369,1800
G5107100,-76.289307,36.865417,1800
G5107300,-77.408684,37.222534,1800
G5107600,-77.43644,37.540939,1800
