czone,exposure_1990_2000,exposure_2000_2007,instrument_1990_2000,instrument_2000_2007
11002,0.7676176911836821,4.779550664697427,1.5278696614799654,2.808655612790612
11101,0.5581826160006307,1.4911585824209592,0.5859612107382295,2.175635651542441
11102,0.839692604782394,2.5254793256941968,3.1944429608382703,3.8211878984187795
11201,0.321510959907051,2.2029571027114034,0.6339795145592259,1.6651216774731075
11202,0.008528002663241965,0.16101593795486988,0.014347664426945054,0.048320020513819326
11203,0.4525189238486641,0.8411309250833808,0.5599881378140973,2.463673770179532
11301,0.23389767267484193,0.4822929848483325,0.1956918431340117,0.6200606221540487
11302,0.6467276300173105,1.248290634059485,1.0300095545776253,1.597204823190512
11303,0.23258400161462905,0.9539245877806074,0.9565197776113843,0.7365670457988115
11304,0.20909497348394787,0.855131801014873,0.1706416704619061,0.6028000230109942
11401,0.2375377887551967,1.3838524696722487,0.18227800502504327,0.7068667130728823
11402,1.1922881871237776,2.777839046348833,0.5422774857187088,2.404984614438734
11403,0.25102410423809907,0.7770020936979044,0.30372738722105747,0.4749284377272797
11500,1.2788599302226484,4.180389703211184,0.687063248936902,3.233772089409006
11600,0.7466414454297956,1.8244309885030954,0.4405355344119124,1.7747947404709639
11700,0.19994089011465968,0.896669214091099,0.17649143711814627,0.7553971775576152
11800,0.6362288520585648,1.1283765622180553,0.2767984963706965,2.0695197269377377
11900,0.6834876291513804,1.8466643679399228,0.5278737735840539,2.4596542382945152
12001,1.6307993891732022,4.278949101403892,1.1017937697125844,3.003242522464161
12002,1.4814059565642088,4.289331282824135,1.5735861912731903,4.560552402841631
12100,0.7809091157472754,2.0725994150225167,0.5755409965715229,1.8608190583864572
12200,1.1966036371501765,3.0756789181964694,0.9019459944632298,2.8770433438975482
12301,0.8144799385764795,2.3106409603743114,0.5305246819076674,1.7275478200357521
12302,0.6706147425201338,2.0286016322954077,0.5077973194802452,1.9816294505087688
12401,0.694758520443459,1.2241189824228271,0.7299044707437474,2.0058447062782316
12402,1.0787592269291628,3.554976056090895,0.5392702124406042,2.486265476833841
12501,0.9415889013271338,3.7129641627875825,0.7463984970907276,3.3621843991230693
12502,3.3509883801728195,2.4055065955765342,1.0569949469084525,4.475816069467123
12600,1.443620404704412,3.575799054265573,1.8282101827946344,4.9656454591817605
12701,1.216249483098129,2.1513492789519195,0.7287885328777429,2.7665732490179957
12702,11.18897113434798,4.634663108790603,4.2267148785699895,9.200543980512863
12800,4.47648041173749,2.900224138912222,0.9657380533841022,3.6507454305783025
12901,2.319999286841598,4.946608874608532,1.2932228985531553,3.349091700095008
12902,1.3998552754818445,4.121212642784085,4.447386694250118,8.295660322323414
12903,1.3190887530348838,11.824390329785096,2.1713400595255115,2.9695117852723234
13000,0.7509568394586925,3.023431531850674,1.139072539709186,2.515801502494521
13101,0.945318753455078,2.272757133980465,0.6668435202828431,2.44896008151652
13102,6.025471031710788,3.2476358619738175,1.4716696615667502,6.158534122527349
13103,0.9561083832708621,3.434475925767109,0.7973358313186749,2.8123953721003048
13200,1.108023121472562,2.6635945677904465,1.1437890264986588,3.380552116170532
13300,1.2858570268519893,4.647460458077331,1.0927027004298,5.530806035132255
13400,2.6655341786629685,2.486982265525995,1.3188283446050864,4.796395507855777
13501,0.995635707520503,2.7438449251347397,0.5769237991232471,2.6446886557161675
13502,3.9711045168386585,7.4294064573985406,1.702438093137629,6.2546312423473545
13600,1.3914478342173981,3.421636238317843,1.1629221044160452,4.8650245211532175
13700,3.3593681300819136,4.031093065394589,1.7880591662692904,4.385705712115118
13800,1.8944096744065688,4.237802856758408,1.912882297045066,3.852986074680294
13900,1.7332237444560672,4.921058143739547,8.616317075130056,6.696765577981823
